| CartItem     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27       | toString | public | String  | Ljava/lang/String; | toString()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:69:5:69:13       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:30:77:5       |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | equals                 | public  | boolean         | Z                                        | equals(Object)                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25                   |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getSubtotal            | public  | double          | D                                        | getSubtotal()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:19:45:29                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:19:45:29                   |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getQuantity            | public  | int             | I                                        | getQuantity()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:16:38:26                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:16:38:26                   |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getPrice               | public  | double          | D                                        | getPrice()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:19:34:26                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:19:34:26                   |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getName                | public  | String          | Ljava/lang/String;                       | getName()                          | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:19:30:25                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:19:30:25                   |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | CartItem               | public  | void            | V                                        | CartItem(String, double, int)      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:13:12:13:19                   | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:13:12:13:19                   |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | valueOf                | public  | DiscountType    | Lcom/demo/DiscountService$DiscountType;  | valueOf(String)                    | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | valueOf                | static  | DiscountType    | Lcom/demo/DiscountService$DiscountType;  | valueOf(String)                    | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | values                 | public  | DiscountType[]  | [Lcom/demo/DiscountService$DiscountType; | values()                           | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | values                 | static  | DiscountType[]  | [Lcom/demo/DiscountService$DiscountType; | values()                           | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/target/classes/com/demo/DiscountService$DiscountType.class:0:0:0:0 |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | DiscountType           | private | void            | V                                        | DiscountType()                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28            |
| DiscountType     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28 | <clinit>               | static  | void            | V                                        | <clinit>()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | <obinit>               | private | void            | V                                        | <obinit>()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28              |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | reset                  | public  | void            | V                                        | reset()                            | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:84:17:84:21            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:84:17:84:21            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | hasDiscount            | public  | boolean         | Z                                        | hasDiscount()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:77:20:77:30            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:77:20:77:30            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | getDiscountDescription | public  | String          | Ljava/lang/String;                       | getDiscountDescription()           | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:59:19:59:40            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | calculateDiscount      | public  | double          | D                                        | calculateDiscount(double)          | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:19:37:35            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:37:19:37:35            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | withDiscount           | public  | DiscountService | Lcom/demo/DiscountService;               | withDiscount(DiscountType, double) | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39            |
| DiscountService  | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:7:14:7:28   | DiscountService        | public  | void            | V                                        | DiscountService()                  | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:22:12:22:26            | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:22:12:22:26            |
| ReceiptGenerator | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29  | generateSummary        | public  | String          | Ljava/lang/String;                       | generateSummary(ShoppingCart)      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:82:19:82:33           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:82:19:82:33           |
| ReceiptGenerator | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29  | generate               | public  | String          | Ljava/lang/String;                       | generate(ShoppingCart)             | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26           |
| ReceiptGenerator | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29  | ReceiptGenerator       | public  | void            | V                                        | ReceiptGenerator()                 | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29             |
| ReceiptGenerator | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29  | <clinit>               | static  | void            | V                                        | <clinit>()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29             |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | toString               | public  | String          | Ljava/lang/String;                       | toString()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:19:113:26             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:19:113:26             |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | clear                  | public  | void            | V                                        | clear()                            | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:107:17:107:21             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:107:17:107:21             |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | hasDiscount            | public  | boolean         | Z                                        | hasDiscount()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:100:20:100:30             | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:100:20:100:30             |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getDiscountService     | public  | DiscountService | Lcom/demo/DiscountService;               | getDiscountService()               | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:93:28:93:45               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:93:28:93:45               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getTotal               | public  | double          | D                                        | getTotal()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:86:19:86:26               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:86:19:86:26               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getDiscountAmount      | public  | double          | D                                        | getDiscountAmount()                | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:79:19:79:35               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:79:19:79:35               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getSubtotal            | public  | double          | D                                        | getSubtotal()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:72:19:72:29               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:72:19:72:29               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getItemCount           | public  | int             | I                                        | getItemCount()                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:65:16:65:27               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:65:16:65:27               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | isEmpty                | public  | boolean         | Z                                        | isEmpty()                          | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:58:20:58:26               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:58:20:58:26               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | getItems               | public  | List<CartItem>  | Ljava/util/List;                         | getItems()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:51:27:51:34               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:51:27:51:34               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | removeItem             | public  | boolean         | Z                                        | removeItem(String)                 | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:42:20:42:29               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:42:20:42:29               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | addItem                | public  | void            | V                                        | addItem(CartItem)                  | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | ShoppingCart           | public  | void            | V                                        | ShoppingCart(DiscountService)      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:23:12:23:23               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:23:12:23:23               |
| ShoppingCart     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25    | ShoppingCart           | public  | void            | V                                        | ShoppingCart()                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:16:12:16:23               | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:16:12:16:23               |
